"sample","mother","hist","ramp","time","fvfm","C.SH","D.SH","tot.SH"
"1_1","1","C*","cool",0,0.506,0.001577498,6.059084432,6.06066193
"1_1","1","C*","cool",7,0.454,NA,NA,NA
"1_1","1","C*","cool",14,0.457,NA,NA,NA
"1_1","1","C*","cool",21,0.396,NA,NA,NA
"1_1","1","C*","cool",28,0.347,5.25394e-05,0.216498317,0.2165508564
"1_1","1","C*","cool",35,0.386,NA,NA,NA
"1_1","1","C*","cool",42,0.372,6.30155e-05,0.440557301,0.4406203165
"1_1","1","C*","cool",49,0.29,NA,NA,NA
"1_1","1","C*","cool",56,0.246,NA,NA,NA
"1_1","1","C*","cool",63,0.156,NA,NA,NA
