"","Sum Sq","Mean Sq","NumDF","DenDF","F.value","Pr(>F)"
"poly(time, 2)",6.818,3.409,2,19.238,592.137,0
"ramp",1.876,1.876,1,41.146,325.799,0
"dom",0.006,0.006,1,38.886,1.042,0.314
"poly(time, 2):ramp",1.859,0.93,2,52.255,161.446,0
"poly(time, 2):dom",0.022,0.011,2,51.452,1.893,0.161
"ramp:dom",0.001,0.001,1,41.417,0.092,0.764
"poly(time, 2):ramp:dom",0.051,0.026,2,52.061,4.464,0.016
